               index         classified?        descriptor_1
                   1                  NO    0.3600000000E-02
                   2                  NO   -0.1048696000E-01
                   3                 YES   -0.4244380124E-01
                   4                 YES   -0.3064838910E-01
                   5                 YES   -0.4657044249E-01
                   6                 YES   -0.7706551999E-01
                   7                  NO   -0.1762574220E-02
                   8                  NO   -0.5740977536E-02
                   9                 YES   -0.5562210300E-01
                  10                  NO   -0.1589077829E-01
                  11                  NO   -0.2182372026E-01
                  12                 YES   -0.5595862545E-01
                  13                 YES   -0.3219068058E-01
                  14                 YES   -0.2837503515E-01
                  15                 YES   -0.3554187616E-01
                  16                 YES   -0.3798206329E-01
                  17                 YES   -0.2752014989E-01
                  18                  NO   -0.1737801173E-01
                  19                  NO   -0.1527841590E-01
                  20                  NO   -0.7197187101E-02
                  21                  NO   -0.8536398485E-02
                  22                 YES   -0.3221895600E-01
                  23                 YES   -0.8764858285E-01
                  24                  NO    0.2764959740E-02
                  25                 YES   -0.2912879573E-01
                  26                  NO    0.0000000000E+00
                  27                 YES   -0.6083719558E-01
                  28                  NO   -0.1523765779E-01
                  29                 YES   -0.2578225636E-01
                  30                  NO    0.0000000000E+00
                  31                  NO   -0.3370293120E-03
                  32                  NO    0.7386060702E-02
                  33                 YES   -0.4056734100E-01
                  34                  NO   -0.1900854413E-01
                  35                 YES   -0.9808412565E-01
                  36                 YES   -0.5192332200E-01
                  37                  NO   -0.4680051840E-03
                  38                  NO   -0.1656101214E-01
                  39                  NO   -0.1512390397E-02
                  40                  NO   -0.1820057400E-03
                  41                  NO   -0.3967538850E-02
                  42                  NO   -0.2062384740E-01
                  43                 YES    0.3730711010E-01
                  44                  NO   -0.7323409000E-02
                  45                  NO   -0.1677285040E-01
                  46                  NO   -0.1920729000E-02
                  47                 YES    0.1453333266E-01
                  48                  NO   -0.2397773149E-01
                  49                  NO   -0.1328263911E-01
                  50                  NO   -0.8817954340E-02
                  51                  NO   -0.1522030760E-02
                  52                  NO    0.1314793260E-02
                  53                 YES    0.1159545717E+00
                  54                  NO   -0.3016259584E-02
                  55                 YES    0.2290115176E-01
                  56                  NO   -0.3650828040E-02
                  57                  NO   -0.7400028600E-03
                  58                  NO   -0.5217234256E-02
                  59                 YES    0.2015382851E-01
                  60                  NO   -0.4313649546E-02
                  61                 YES    0.3053881737E-01
                  62                 YES    0.8623567558E-01
                  63                  NO    0.6685010136E-02
                  64                  NO    0.7460762080E-02
                  65                  NO    0.3531167136E-02
                  66                  NO   -0.2246476032E-02
