               index         classified?        descriptor_1
                   1                  NO    0.3250000000E-01
                   2                 YES   -0.9162088000E-01
                   3                  NO    0.1809638000E-01
                   4                 YES   -0.2089582000E-01
                   5                  NO   -0.2945280000E-02
                   6                  NO    0.5620000000E-02
                   7                 YES   -0.5895188000E-01
                   8                  NO   -0.1757016000E-01
                   9                 YES   -0.5355609000E-01
                  10                 YES   -0.4815044000E-01
                  11                 YES   -0.2092090000E-01
                  12                  NO   -0.9015540000E-02
                  13                  NO   -0.3450720000E-02
                  14                  NO   -0.1423125000E-01
                  15                 YES   -0.2402960000E-01
                  16                  NO   -0.2000415000E-01
                  17                 YES   -0.3307473000E-01
                  18                  NO    0.1883658000E-01
                  19                 YES   -0.2383600000E-01
                  20                 YES   -0.1007656300E+00
                  21                 YES   -0.1006708800E+00
                  22                 YES   -0.1817912600E+00
                  23                 YES   -0.3323376000E+00
                  24                  NO    0.7086528000E-01
                  25                 YES   -0.6431390000E-01
                  26                 YES   -0.7749120000E-01
                  27                 YES   -0.3056880000E-01
                  28                  NO   -0.3056550000E-02
                  29                 YES   -0.2223288000E-01
                  30                  NO    0.0000000000E+00
                  31                  NO   -0.1033128000E-01
                  32                 YES   -0.5840000000E-01
                  33                 YES   -0.7336290000E-01
                  34                 YES   -0.3254384000E-01
                  35                 YES   -0.1936725000E+00
                  36                 YES   -0.7434404000E-01
                  37                  NO   -0.4944600000E-02
                  38                  NO    0.1280550000E-01
                  39                  NO   -0.2001000000E-03
                  40                  NO   -0.4999500000E-02
                  41                  NO   -0.1922375000E-01
                  42                  NO    0.2500550000E-02
                  43                 YES    0.2671298400E+00
                  44                  NO   -0.6011230000E-02
                  45                  NO    0.8115200000E-02
                  46                  NO   -0.1760440000E-02
                  47                  NO   -0.2444350000E-02
                  48                 YES    0.7548720000E-01
                  49                  NO    0.4512240000E-02
                  50                  NO   -0.1562710000E-01
                  51                  NO    0.2539548000E-01
                  52                  NO    0.1804980000E-02
                  53                  NO    0.5878460000E-01
                  54                 YES    0.1716172700E+00
                  55                  NO   -0.2146560000E-02
                  56                  NO   -0.1784500000E-02
                  57                  NO    0.1964160000E-01
                  58                  NO    0.1691670000E-01
                  59                  NO   -0.1056160000E-01
                  60                 YES    0.8595002000E-01
                  61                  NO   -0.5365800000E-02
                  62                 YES    0.1369039000E+00
                  63                 YES    0.1220083200E+00
                  64                 YES    0.8332542000E-01
                  65                  NO    0.2240780000E-01
                  66                  NO   -0.2092310000E-02
