               index         classified?        descriptor_1
                   1                  NO    0.3600000000E-02
                   2                  NO   -0.1048696000E-01
                   3                 YES   -0.4244380124E-01
                   4                 YES   -0.3064838910E-01
                   5                 YES   -0.4657044249E-01
                   6                  NO   -0.1762574220E-02
                   7                  NO   -0.5740977536E-02
                   8                 YES   -0.5562210300E-01
                   9                  NO   -0.7586971900E-02
                  10                  NO   -0.1589077829E-01
                  11                  NO   -0.2182372026E-01
                  12                 YES   -0.5595862545E-01
                  13                 YES   -0.3219068058E-01
                  14                 YES   -0.2837503515E-01
                  15                  NO   -0.2321179360E-01
                  16                 YES   -0.2752014989E-01
                  17                  NO   -0.2475924412E-01
                  18                  NO   -0.7725170484E-02
                  19                  NO   -0.7197187101E-02
                  20                 YES   -0.3221895600E-01
                  21                  NO   -0.8720771520E-02
                  22                 YES   -0.3928613850E-01
                  23                 YES   -0.8764858285E-01
                  24                  NO    0.2764959740E-02
                  25                 YES   -0.2912879573E-01
                  26                  NO    0.0000000000E+00
                  27                 YES   -0.2568400376E-01
                  28                 YES   -0.6083719558E-01
                  29                  NO   -0.1523765779E-01
                  30                  NO    0.0000000000E+00
                  31                  NO   -0.4102594320E-02
                  32                  NO   -0.3370293120E-03
                  33                  NO    0.5180428736E-02
                  34                 YES   -0.5884842790E-01
                  35                 YES   -0.9808412565E-01
                  36                 YES   -0.5192332200E-01
                  37                  NO   -0.1512390397E-02
                  38                  NO   -0.1385603364E-02
                  39                  NO   -0.1512390397E-02
                  40                  NO   -0.1820057400E-03
                  41                  NO   -0.3967538850E-02
                  42                  NO   -0.2062384740E-01
                  43                  NO   -0.1733689020E-02
                  44                 YES    0.3730711010E-01
                  45                  NO   -0.7323409000E-02
                  46                  NO   -0.1920729000E-02
                  47                  NO   -0.2397773149E-01
                  48                  NO   -0.1328263911E-01
                  49                  NO   -0.8817954340E-02
                  50                  NO   -0.1522030760E-02
                  51                  NO    0.4467484692E-02
                  52                  NO    0.1314793260E-02
                  53                 YES    0.1268638532E-01
                  54                 YES    0.1159545717E+00
                  55                  NO   -0.3016259584E-02
                  56                 YES    0.2290115176E-01
                  57                  NO   -0.3650828040E-02
                  58                  NO    0.3322674432E-02
                  59                  NO   -0.7400028600E-03
                  60                  NO   -0.5217234256E-02
                  61                 YES    0.2015382851E-01
                  62                 YES    0.3053881737E-01
                  63                 YES    0.8623567558E-01
                  64                 YES    0.6685010136E-02
                  65                 YES    0.7460762080E-02
                  66                  NO    0.3531167136E-02
